PlayerRowId,SteamId,VACBanned,NumberOfVACBans,NumberOfGameBans,DaysSinceLastBan,EconomyBan,TotalGamesOwned,TotalPlaytimeMinutes,TotalPlaytimeHours
263,7.65612E+16,False,0,1,379,False,0,0.0,0.0
264,7.65612E+16,False,0,1,967,False,10,3339.0,55.7
265,7.65612E+16,True,2,0,3956,False,130,168175.0,2802.9
266,7.65612E+16,False,0,1,1971,False,0,0.0,0.0
267,7.65612E+16,True,1,0,5993,False,0,0.0,0.0
268,7.65612E+16,True,1,0,5983,False,0,0.0,0.0
269,7.65612E+16,True,1,1,3154,False,670,115165.0,1919.4
270,7.65612E+16,True,1,0,6057,False,0,0.0,0.0
271,7.65612E+16,True,1,0,4145,False,0,0.0,0.0
272,7.65612E+16,True,1,0,5906,False,0,0.0,0.0
273,7.65612E+16,True,1,0,1542,False,14,115841.0,1930.7
274,7.65612E+16,True,3,1,3523,False,0,0.0,0.0
275,7.65612E+16,True,1,0,2886,False,0,0.0,0.0
276,7.65612E+16,True,1,0,6046,False,0,0.0,0.0
277,7.65612E+16,False,0,1,222,False,110,174710.0,2911.8
278,7.65612E+16,True,1,0,5848,False,0,0.0,0.0
279,7.65612E+16,True,1,0,4380,False,0,0.0,0.0
280,7.65612E+16,True,1,1,2965,False,27,207088.0,3451.5
281,7.65612E+16,True,1,0,4975,False,0,0.0,0.0
282,7.65612E+16,False,0,1,2883,False,0,0.0,0.0
283,7.65612E+16,True,4,1,2848,False,929,355569.0,5926.2
284,7.65612E+16,False,0,1,389,False,0,0.0,0.0
285,7.65612E+16,False,0,1,2900,False,70,208658.0,3477.6
286,7.65612E+16,True,1,0,3325,False,0,0.0,0.0
287,7.65612E+16,False,0,1,2374,False,1,6192.0,103.2
288,7.65612E+16,True,1,0,5769,False,0,0.0,0.0
289,7.65612E+16,False,0,1,2207,False,1,2708.0,45.1
290,7.65612E+16,False,0,1,2095,False,2,1734.0,28.9
291,7.65612E+16,True,1,0,3811,False,0,0.0,0.0
292,7.65612E+16,True,1,0,5932,False,0,0.0,0.0
293,7.65612E+16,True,1,0,5554,False,0,0.0,0.0
294,7.65612E+16,True,1,0,5855,False,0,0.0,0.0
295,7.65612E+16,True,1,0,5574,False,0,0.0,0.0
296,7.65612E+16,True,1,0,5687,False,6,61647.0,1027.5
297,7.65612E+16,True,1,0,5610,False,0,0.0,0.0
298,7.65612E+16,True,1,0,5914,False,0,0.0,0.0
299,7.65612E+16,True,1,0,5850,False,22,161638.0,2694.0
300,7.65612E+16,True,1,0,5871,False,0,0.0,0.0
301,7.65612E+16,False,0,1,1412,False,0,0.0,0.0
302,7.65612E+16,True,1,0,4332,False,0,0.0,0.0
303,7.65612E+16,True,1,0,5862,False,0,0.0,0.0
304,7.65612E+16,True,1,0,3707,False,0,0.0,0.0
305,7.65612E+16,True,2,0,4046,False,0,0.0,0.0
306,7.65612E+16,True,1,0,5922,False,0,0.0,0.0
307,7.65612E+16,True,1,0,5601,False,481,339922.0,5665.4
308,7.65612E+16,True,2,0,4655,False,0,0.0,0.0
309,7.65612E+16,False,0,1,1515,False,0,0.0,0.0
310,7.65612E+16,True,1,0,4380,False,0,0.0,0.0
311,7.65612E+16,True,1,0,5130,False,0,0.0,0.0
312,7.65612E+16,True,1,0,5871,False,0,0.0,0.0
313,7.65612E+16,True,1,0,5638,False,0,0.0,0.0
314,7.65612E+16,True,1,2,2074,False,10,78922.0,1315.4
315,7.65612E+16,True,1,0,5635,False,0,0.0,0.0
316,7.65612E+16,False,0,1,1399,False,0,0.0,0.0
317,7.65612E+16,True,1,0,5809,False,0,0.0,0.0
318,7.65612E+16,True,1,0,5876,False,0,0.0,0.0
319,7.65612E+16,True,1,0,5892,False,0,0.0,0.0
320,7.65612E+16,True,2,0,1490,False,0,0.0,0.0
321,7.65612E+16,True,1,0,5595,False,0,0.0,0.0
